Period,Pressure,Speed,Temperature,Sound,Vibration
10865,103.04,97.74,86.39,66.3,141.32
10866,103.09,97.21,86.84,66.95,142.24
10867,103.37,97.16,87.27,67.45,143.88
10868,103.38,96.91,88.32,67.75,146.39
10869,103.98,96.27,89.42,68.01,148.39
10870,104,96.18,89.48,68.3,149.28
10871,104.36,95.21,90.26,68.52,158.35
10872,104.36,94.36,91,68.55,158.76
10873,100,100,80,60,120
10874,100.21,99.77,80.75,60.03,127.44
10875,100.26,99.46,82.1,60.19,129.33
10876,100.85,99.08,82.96,60.48,129.82
10877,101.56,98.95,83.32,60.58,130.5
10878,101.9,98.78,83.61,60.64,132.68
10879,102.23,98.45,83.87,62.53,136.56
10880,102.36,98.37,83.98,62.81,142.63
10881,103.21,98.33,84.12,64.44,151.76
10882,103.66,97.13,85.02,65.2,155.89
10883,103.72,97.02,85.07,65.69,156.31
10884,103.87,96.98,85.45,65.73,156.87
10885,104.5,96.89,86.16,66.5,157.48
10886,105.04,96.71,86.27,67.9,158.75
10887,105.2,96.18,87.13,69.1,161.5
10888,105.26,96.1,87.24,69.2,164.27
10889,105.32,95.99,87.66,70.87,171.58
10890,105.38,95.64,88.1,75.22,180.75
10891,105.76,95.34,88.12,76.6,182.59
10892,106.26,95.27,88.18,76.69,182.84
10893,106.32,94.91,88.19,78.4,183.67
10894,100,100,80,60,120
10895,100.59,99.6,80.84,61.48,121.76
10896,101.1,99.18,82.23,62.74,122.8
10897,101.19,98.8,82.28,63.61,123.25
10898,101.83,98.7,83.54,65.03,126.37
10899,103.29,98.45,84.15,65.85,128.58
10900,103.41,98.13,84.2,67.46,132.36
10901,103.72,97.67,84.76,68.17,132.95
10902,103.83,97.44,85.48,68.77,133.22
10903,104.54,96.86,86.56,72.81,133.54
10904,104.58,96.66,87.73,72.95,133.93
10905,104.81,96.54,87.83,75.75,136.25
10906,104.96,96.53,88.33,76.65,136.48
10907,105.1,96.41,89.38,76.87,136.72
10908,105.4,96.39,89.51,77.02,137.08
10909,105.56,96.1,89.62,77.56,142.97
10910,106.57,95.68,89.77,78.96,144.45
10911,106.62,95.43,89.79,79.07,144.98
10912,106.87,95.41,92.09,79.39,147.25
10913,106.9,94.8,92.75,81.38,151.81
10914,100,100,80,60,120
10915,100.18,99.9,80.27,61.52,131.91
10916,100.47,99.44,80.6,62.2,136.03
10917,101.23,98.48,80.76,62.91,137.96
10918,101.67,98.38,80.77,63.3,146.08
10919,101.92,98.11,80.86,63.7,156.85
10920,102.14,97.7,81.16,64.08,156.93
10921,102.51,97.69,82.46,64.33,162.2
10922,102.66,97.66,82.79,64.65,165.48
10923,103.04,97.53,82.81,64.83,168.8
10924,103.3,97.45,83.05,66.19,176.73
10925,104.3,97.38,83.54,67.92,180.5
10926,104.62,97.29,85.27,69.53,182.22
10927,104.89,97.2,85.51,72.55,185.72
10928,105.15,97.03,85.8,73.58,187.04
10929,105.4,97.02,86.73,74.37,189.83
10930,105.48,96.64,87.08,74.93,193.96
10931,107.13,96.23,87.37,76.08,199.57
10932,107.19,96.23,88.33,76.42,205.13
10933,107.29,96.2,90.08,77.13,207.43
10934,107.38,95.8,90.4,79.37,210.32
10935,107.71,95.39,90.52,79.41,211.34
10936,107.88,95.37,90.74,81.59,214.7
10937,107.94,95.25,91.09,85.78,220.16
10938,108.8,95.06,92.38,88.27,220.49
10939,109.09,94.52,94.79,88.67,221.41
10940,100,100,80,60,120
10941,100.37,99.98,81.36,61.63,122.37
10942,100.48,99.88,81.67,62.07,131.05
10943,100.56,99.82,81.81,62.15,131.15
10944,100.7,99.51,81.82,63.12,132.09
10945,100.88,99.12,82.52,63.98,133.34
10946,101.24,99,82.66,64.01,133.51
10947,101.32,98.89,82.66,64.12,133.58
10948,101.34,98.88,83.43,64.34,135.89
10949,101.44,98.69,84.01,64.48,136.14
10950,101.46,98.59,84.43,68.17,138.61
10951,101.57,98.18,84.81,68.6,140.8
10952,101.85,97.84,84.85,69.12,141.45
10953,103.2,97.68,86.76,71.21,144.76
10954,103.41,97.43,86.96,71.47,153.36
10955,103.51,97.41,87.54,71.83,154.3
10956,103.91,97.18,87.62,71.91,160.48
10957,104.49,96.86,87.99,72.03,164.83
10958,104.97,96.28,88.03,72.23,166
10959,105.33,96.06,88.14,72.47,169.37
10960,105.33,96.05,88.21,73.93,173.17
10961,106.06,95.58,88.52,74.16,176.63
10962,106.21,95.54,88.62,75.85,183.47
10963,106.64,95.42,89.42,75.88,186.79
10964,106.96,95.27,89.5,78.11,190.11
10965,107.07,95.24,90.08,78.16,192.39
10966,107.36,95.01,90.21,78.24,193.47
10967,107.42,94.92,90.4,79.17,195.95
10968,100,100,80,60,120
10969,100.51,99.92,80.11,61.73,121.05
10970,101.14,99.6,80.9,61.8,121.34
10971,101.23,99.55,81.59,62.21,121.91
10972,101.33,99.43,81.85,62.91,122.23
10973,102.22,99.27,82.35,65.02,125.71
10974,102.94,99.27,83.9,66.73,129.37
10975,103.31,98.61,84.02,68.51,132.31
10976,103.61,98.21,84.17,68.61,133
