1,1,7.0
1,2,10.0
1,3,10.0
1,4,10.0
1,5,7.0
1,6,10.0
1,7,10.0
1,8,10.0
1,9,10.0
1,10,10.0
1,11,10.0
1,12,10.0
1,13,10.0
1,14,7.0
1,15,7.0
2,1,3.0
2,2,10.0
2,3,3.0
2,4,3.0
2,5,3.0
2,6,3.0
2,7,3.0
2,8,3.0
2,9,3.0
2,10,3.0
2,11,3.0
2,12,3.0
2,13,3.0
2,14,3.0
2,15,3.0
3,1,9.0
3,2,10.0
3,3,3.0
3,4,9.0
3,5,9.0
3,6,9.0
3,7,10.0
3,8,9.0
3,9,9.0
3,10,9.0
3,11,10.0
3,12,9.0
3,13,10.0
3,14,9.0
3,15,3.0
4,1,9.0
4,2,9.0
4,3,9.0
4,4,9.0
4,5,9.0
4,6,9.0
4,7,9.0
4,8,9.0
4,9,9.0
4,10,9.0
4,11,9.0
4,12,9.0
4,13,10.0
4,14,10.0
4,15,9.0
5,1,9.0
5,2,9.0
5,3,9.0
5,4,9.0
5,5,9.0
5,6,9.0
5,7,9.0
5,8,9.0
5,9,9.0
5,10,9.0
5,11,9.0
5,12,9.0
5,13,9.0
5,14,9.0
5,15,9.0
6,1,9.0
6,2,9.0
6,3,9.0
6,4,6.0
6,5,11.0
6,6,6.0
6,7,9.0
6,8,6.0
6,9,11.0
6,10,9.0
6,11,6.0
6,12,6.0
6,13,3.0
6,14,6.0
6,15,6.0
7,1,9.0
7,2,11.0
7,3,9.0
7,4,9.0
7,5,9.0
7,6,6.0
7,7,9.0
7,8,9.0
7,9,9.0
7,10,9.0
7,11,6.0
7,12,6.0
7,13,9.0
7,14,9.0
7,15,9.0
8,1,0.0
8,2,5.0
8,3,9.0
8,4,9.0
8,5,9.0
8,6,5.0
8,7,1.0
8,8,9.0
8,9,0.0
8,10,5.0
8,11,9.0
8,12,5.0
8,13,1.0
8,14,0.0
8,15,0.0
9,1,6.0
9,2,3.0
9,3,6.0
9,4,3.0
9,5,6.0
9,6,6.0
9,7,0.0
9,8,3.0
9,9,6.0
9,10,3.0
9,11,3.0
9,12,6.0
9,13,3.0
9,14,0.0
9,15,6.0
