50.0,11.0,0.46,10.58,1.05,574.2,10
50.0,3.0,0.45,10.45,1.05,544.65,11
50.0,13.0,0.44,10.49,1.05,406.8,11
50.0,12.0,0.45,10.69,1.05,897.59,4
50.0,14.0,0.45,10.59,1.05,131.8,10
10.0,14.0,2.41,10.25,5.5,547.1,3
12.0,13.0,2.01,10.42,4.53,496.9,7
12.0,1.0,1.95,10.38,4.55,508.42,7
10.0,7.0,2.43,10.85,5.48,725.5,10
10.0,5.0,2.25,10.65,5.43,465.05,10
100.0,11.0,0.2,10.54,0.5,802.85,9
100.0,2.0,0.2,10.52,0.5,926.1,11
100.0,10.0,0.2,10.56,0.5,698.3,11
100.0,7.0,0.2,10.6,0.5,84.7,0
100.0,6.0,0.2,10.45,0.5,53.9,1
8.0,8.0,3.06,10.5,6.92,904.0,7
8.0,6.0,3.02,10.62,6.79,509.2,7
6.0,6.0,4.05,9.83,9.03,909.4,10
8.0,12.0,3.1,10.38,6.82,526.45,10
6.0,13.0,4.03,10.25,9.04,442.3,5
20.0,6.0,1.19,10.65,2.69,592.95,11
20.0,12.0,1.22,10.15,2.7,330.25,7
20.0,13.0,1.23,10.55,2.7,639.52,7
20.0,15.0,1.17,10.72,2.71,504.25,11
20.0,3.0,1.21,10.4,2.69,541.1,10
4.0,6.0,7.15,10.25,13.9,452.2,10
4.0,14.0,6.28,10.75,13.84,661.5,5
4.0,1.0,5.67,11.0,13.77,629.3,5
4.0,3.0,6.08,11.0,13.87,218.55,5
4.0,7.0,5.97,10.0,13.57,614.8,7
